Group hierarchy,Region,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),Elastic Load Balancing,0,673.43,8081.16,USD,"Number of Network Load Balancers (1), Processed bytes per NLB for TCP (100 GB per hour), Average number of new TCP connections (10000 per second), Average TCP connection duration (100 seconds), Processed bytes per NLB for UDP (50 GB per hour), Average number of new UDP Flows (10000 per second), Average UDP Flow duration (100 seconds)"
My Estimate,US East (N. Virginia),Elastic Load Balancing,0,308.43,3701.16,USD,Number of Application Load Balancers (1)
My Estimate,US East (N. Virginia),S3 Standard,0,236.1,2833.20,USD,S3 Standard storage (10000 GB per month)
My Estimate,US East (N. Virginia),Data Transfer,0,921.51,11058.12,USD,"Data Transfer, Data transfer cost (921.51)"
My Estimate,US East (N. Virginia),Amazon EC2,0,950.71,11408.52,USD,"Operating system (Linux), Quantity (8), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (500 GB), Instance type (t3a.xlarge)"
My Estimate,US East (N. Virginia),Amazon Virtual Private Cloud (VPC),0,482.85,5794.20,USD,Number of NAT Gateways (1)
My Estimate,US East (N. Virginia),Amazon RDS for MySQL,0,4858.504,58302.05,USD,"Quantity (2), Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (5000 GB), Instance type (db.m5.4xlarge)"
My Estimate,US East (N. Virginia),Amazon Virtual Private Cloud (VPC),0,931.75,11181.00,USD,"Data Transfer, Data transfer cost (931.75)"



"AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
